method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/',b'',0,0,0,0,0,0,good
GET,b'/.idea/',b'',0,0,0,0,0,0,good
GET,b'/.idea/.name',b'',0,0,0,0,0,0,good
GET,b'/.idea/acuart.iml',b'',0,0,0,0,0,0,good
GET,b'/.idea/encodings.xml',b'',0,0,0,0,0,0,good
GET,b'/.idea/misc.xml',b'',0,0,0,0,0,0,good
GET,b'/.idea/modules.xml',b'',0,0,0,0,0,0,good
GET,b'/.idea/scopes/',b'',0,0,0,0,0,0,good
GET,b'/.idea/scopes/scope_settings.xml',b'',0,0,0,0,0,0,good
GET,b'/.idea/vcs.xml',b'',0,0,0,0,0,0,good
GET,b'/.idea/workspace.xml',b'',0,0,0,0,0,0,good
GET,b'/404.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/',b'',0,0,0,0,0,0,good
GET,b'/AJAX/artists.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/categories.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/htaccess.conf',b'',0,0,0,0,0,0,good
GET,b'/AJAX/index.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/infoartist.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/infocateg.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/infotitle.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/showxml.php',b'',0,0,0,0,0,0,good
GET,b'/AJAX/titles.php',b'',0,0,0,0,0,0,good
GET,b'/CVS/',b'',0,0,0,0,0,0,good
GET,b'/CVS/Entries',b'',0,0,0,0,0,0,good
GET,b'/CVS/Entries.Log',b'',0,0,0,0,0,0,good
GET,b'/CVS/Repository',b'',0,0,0,0,0,0,good
GET,b'/CVS/Root',b'',0,0,0,0,0,0,good
GET,b'/Connections/',b'',0,0,0,0,0,0,good
GET,b'/Connections/DB_Connection.php',b'',0,0,0,0,0,0,good
GET,b'/Flash/',b'',0,0,0,0,0,0,good
GET,b'/Flash/add.swf',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/.htaccess',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/BuyProduct-1/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/BuyProduct-2/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/BuyProduct-3/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/Details/color-printer/3/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/Details/network-attached-storage-dlink/1/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/Details/web-camera-a4tech/2/',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/RateProduct-1.html',b'',0,0,0,0,0,0,good
GET,b'/Mod_Rewrite_Shop/RateProduct-2.html',b'',0,0,0,0,0,0,good
